Date,Day,Meal_Type,Headcount,Weather,Is_Exam,Is_Holiday,Food_Prepared,Food_Consumed
2022-01-13,Thursday,Breakfast,401,Sunny,0,0,115.3,102.45
2022-01-13,Thursday,Lunch,385,Sunny,0,0,203.5,187.4
2022-01-13,Thursday,Dinner,392,Sunny,0,0,233.6,215.04
2022-01-14,Friday,Breakfast,427,Rainy,0,0,117.26,101.15
2022-01-14,Friday,Lunch,407,Sunny,0,0,212.55,188.04
2022-01-14,Friday,Dinner,388,Rainy,0,0,201.64,187.05
2022-01-15,Saturday,Breakfast,183,Sunny,0,1,49.86,47.37
2022-01-15,Saturday,Lunch,226,Sunny,0,1,112.62,104.65
2022-01-15,Saturday,Dinner,242,Sunny,0,1,140.86,131.57
2022-01-16,Sunday,Breakfast,210,Sunny,0,1,67.3,56.96
2022-01-16,Sunday,Lunch,203,Sunny,0,1,110.1,97.15
2022-01-16,Sunday,Dinner,227,Sunny,0,1,123.5,104.26
2022-01-17,Monday,Breakfast,443,Sunny,0,0,118.15,107.18
2022-01-17,Monday,Lunch,431,Rainy,0,0,243.86,208.97
2022-01-17,Monday,Dinner,425,Sunny,0,0,234.73,198.12
2022-01-18,Tuesday,Breakfast,423,Sunny,0,0,111.87,97.32
2022-01-18,Tuesday,Lunch,382,Sunny,0,0,200.27,173.58
2022-01-18,Tuesday,Dinner,426,Sunny,0,0,241.04,222.04
2022-01-19,Wednesday,Breakfast,404,Rainy,0,0,122.47,104.02
2022-01-19,Wednesday,Lunch,426,Sunny,0,0,194.64,176.12
2022-01-19,Wednesday,Dinner,400,Sunny,0,0,242.77,218.92
2022-01-20,Thursday,Breakfast,442,Sunny,0,0,131.69,117.02
2022-01-20,Thursday,Lunch,421,Sunny,0,0,206.07,177.9
2022-01-20,Thursday,Dinner,401,Sunny,0,0,222.13,206.33
2022-01-21,Friday,Breakfast,445,Cold,0,0,133.19,120.48
2022-01-21,Friday,Lunch,383,Cold,0,0,202.99,169.87
2022-01-21,Friday,Dinner,447,Rainy,0,0,237.41,214.31
2022-01-22,Saturday,Breakfast,256,Sunny,0,1,67.75,59.77
2022-01-22,Saturday,Lunch,264,Sunny,0,1,128.24,120.46
2022-01-22,Saturday,Dinner,235,Cold,0,1,122.97,109.04
2022-01-23,Sunday,Breakfast,258,Rainy,0,1,77.46,67.04
2022-01-23,Sunday,Lunch,212,Sunny,0,1,118.67,101.3
2022-01-23,Sunday,Dinner,258,Cold,0,1,145.48,129.29
2022-01-24,Monday,Breakfast,436,Sunny,0,0,132.61,113.4
2022-01-24,Monday,Lunch,442,Sunny,0,0,206.38,193.95
2022-01-24,Monday,Dinner,421,Sunny,0,0,236.52,209.05
2022-01-25,Tuesday,Breakfast,401,Sunny,0,0,95.89,90.84
2022-01-25,Tuesday,Lunch,438,Sunny,0,0,205.81,182.4
2022-01-25,Tuesday,Dinner,434,Sunny,0,0,236.29,222.33
2022-01-26,Wednesday,Breakfast,385,Sunny,0,0,111.16,97.03
2022-01-26,Wednesday,Lunch,431,Cold,0,0,213.74,194.58
2022-01-26,Wednesday,Dinner,436,Sunny,0,0,228.64,215.34
2022-01-27,Thursday,Breakfast,384,Cold,0,0,118.27,102.45
2022-01-27,Thursday,Lunch,410,Sunny,0,0,186.86,171.82
2022-01-27,Thursday,Dinner,419,Rainy,0,0,236.1,216.21
2022-01-28,Friday,Breakfast,446,Rainy,0,0,128.69,112.71
2022-01-28,Friday,Lunch,410,Sunny,0,0,208.52,179.19
2022-01-28,Friday,Dinner,383,Sunny,0,0,183.88,174.11
2022-01-29,Saturday,Breakfast,256,Rainy,0,1,67.79,63.67
2022-01-29,Saturday,Lunch,224,Sunny,0,1,105.05,94.21
2022-01-29,Saturday,Dinner,215,Sunny,0,1,116.67,110.4
2022-01-30,Sunday,Breakfast,213,Sunny,0,1,62.79,53.28
2022-01-30,Sunday,Lunch,239,Sunny,0,1,112.7,98.31
2022-01-30,Sunday,Dinner,182,Sunny,0,1,112.51,99.01
2022-01-31,Monday,Breakfast,408,Sunny,0,0,114.49,101.15
2022-01-31,Monday,Lunch,446,Sunny,0,0,259.94,219.21
2022-01-31,Monday,Dinner,395,Sunny,0,0,191.31,181.73
2022-02-01,Tuesday,Breakfast,388,Sunny,0,0,97.36,88.68
2022-02-01,Tuesday,Lunch,439,Sunny,0,0,229.35,209.97
2022-02-01,Tuesday,Dinner,390,Sunny,0,0,236.36,200.03
2022-02-02,Wednesday,Breakfast,432,Rainy,0,0,111.2,103.29
2022-02-02,Wednesday,Lunch,433,Rainy,0,0,237.9,213.96
2022-02-02,Wednesday,Dinner,407,Rainy,0,0,234.38,197.02
2022-02-03,Thursday,Breakfast,440,Sunny,0,0,134.37,115.52
2022-02-03,Thursday,Lunch,389,Cold,0,0,205.71,175.23
2022-02-03,Thursday,Dinner,404,Rainy,0,0,207.72,197.52
2022-02-04,Friday,Breakfast,443,Sunny,0,0,127.3,106.75
2022-02-04,Friday,Lunch,446,Sunny,0,0,230.15,205.99
2022-02-04,Friday,Dinner,402,Sunny,0,0,241.8,207.94
2022-02-05,Saturday,Breakfast,251,Rainy,0,1,64.77,57.62
2022-02-05,Saturday,Lunch,185,Sunny,0,1,97.35,82.28
2022-02-05,Saturday,Dinner,211,Sunny,0,1,114.06,97.97
2022-02-06,Sunday,Breakfast,235,Sunny,0,1,62.22,53.86
2022-02-06,Sunday,Lunch,186,Rainy,0,1,92.57,87.15
2022-02-06,Sunday,Dinner,187,Cold,0,1,100.78,91.15
2022-02-07,Monday,Breakfast,437,Cold,0,0,139.41,119.87
2022-02-07,Monday,Lunch,407,Sunny,0,0,219.16,193.3
2022-02-07,Monday,Dinner,411,Cold,0,0,213.0,189.52
2022-02-08,Tuesday,Breakfast,383,Sunny,0,0,93.17,87.25
2022-02-08,Tuesday,Lunch,390,Sunny,0,0,209.46,184.14
2022-02-08,Tuesday,Dinner,447,Sunny,0,0,252.49,213.92
2022-02-09,Wednesday,Breakfast,397,Cold,0,0,107.08,89.57
2022-02-09,Wednesday,Lunch,385,Rainy,0,0,208.87,174.21
2022-02-09,Wednesday,Dinner,387,Sunny,0,0,238.85,211.66
2022-02-10,Thursday,Breakfast,424,Sunny,0,0,120.18,105.04
2022-02-10,Thursday,Lunch,421,Cold,0,0,188.1,172.23
2022-02-10,Thursday,Dinner,446,Rainy,0,0,252.63,221.02
2022-02-11,Friday,Breakfast,401,Sunny,0,0,109.77,99.52
2022-02-11,Friday,Lunch,421,Sunny,0,0,248.47,207.42
2022-02-11,Friday,Dinner,429,Sunny,0,0,241.83,206.33
2022-02-12,Saturday,Breakfast,241,Sunny,0,1,76.5,65.2
2022-02-12,Saturday,Lunch,265,Rainy,0,1,135.7,121.95
2022-02-12,Saturday,Dinner,263,Rainy,0,1,125.99,119.54
2022-02-13,Sunday,Breakfast,213,Rainy,0,1,62.68,58.44
2022-02-13,Sunday,Lunch,233,Sunny,0,1,134.92,114.7
2022-02-13,Sunday,Dinner,255,Sunny,0,1,136.74,125.33
2022-02-14,Monday,Breakfast,386,Rainy,0,0,123.04,102.54
2022-02-14,Monday,Lunch,449,Sunny,0,0,253.74,212.92
2022-02-14,Monday,Dinner,439,Sunny,0,0,232.41,217.33
2022-02-15,Tuesday,Breakfast,446,Sunny,0,0,121.35,105.45
2022-02-15,Tuesday,Lunch,424,Sunny,0,0,202.59,176.05
2022-02-15,Tuesday,Dinner,417,Rainy,0,0,246.57,209.34
2022-02-16,Wednesday,Breakfast,419,Sunny,0,0,125.09,112.64
2022-02-16,Wednesday,Lunch,391,Sunny,0,0,211.38,184.93
2022-02-16,Wednesday,Dinner,430,Sunny,0,0,209.76,199.36
2022-02-17,Thursday,Breakfast,406,Sunny,0,0,110.79,99.31
2022-02-17,Thursday,Lunch,443,Sunny,0,0,233.4,199.91
2022-02-17,Thursday,Dinner,409,Sunny,0,0,261.52,219.32
2022-02-18,Friday,Breakfast,392,Cold,0,0,106.53,97.85
2022-02-18,Friday,Lunch,413,Cold,0,0,204.01,185.58
2022-02-18,Friday,Dinner,425,Sunny,0,0,207.95,194.47
2022-02-19,Saturday,Breakfast,191,Sunny,0,1,50.77,44.3
2022-02-19,Saturday,Lunch,196,Sunny,0,1,106.73,95.2
2022-02-19,Saturday,Dinner,240,Sunny,0,1,118.93,112.61
2022-02-20,Sunday,Breakfast,195,Sunny,0,1,48.49,45.6
2022-02-20,Sunday,Lunch,190,Sunny,0,1,88.9,80.48
2022-02-20,Sunday,Dinner,225,Sunny,0,1,119.48,102.13
2022-02-21,Monday,Breakfast,424,Sunny,0,0,135.35,113.92
2022-02-21,Monday,Lunch,386,Sunny,0,0,214.25,184.34
2022-02-21,Monday,Dinner,394,Sunny,0,0,215.44,191.9
2022-02-22,Tuesday,Breakfast,424,Sunny,0,0,122.27,105.21
2022-02-22,Tuesday,Lunch,384,Sunny,0,0,213.37,180.17
2022-02-22,Tuesday,Dinner,417,Sunny,0,0,214.62,192.12
2022-02-23,Wednesday,Breakfast,418,Sunny,0,0,110.31,99.68
2022-02-23,Wednesday,Lunch,383,Sunny,0,0,178.5,162.4
2022-02-23,Wednesday,Dinner,390,Rainy,0,0,228.82,198.65
2022-02-24,Thursday,Breakfast,435,Sunny,0,0,112.8,99.77
2022-02-24,Thursday,Lunch,422,Rainy,0,0,200.25,187.3
2022-02-24,Thursday,Dinner,401,Sunny,0,0,234.33,206.35
2022-02-25,Friday,Breakfast,406,Cold,0,0,112.52,103.65
2022-02-25,Friday,Lunch,389,Sunny,0,0,178.47,166.16
2022-02-25,Friday,Dinner,395,Sunny,0,0,218.66,184.6
2022-02-26,Saturday,Breakfast,187,Sunny,0,1,54.97,45.91
2022-02-26,Saturday,Lunch,190,Sunny,0,1,110.35,93.53
2022-02-26,Saturday,Dinner,253,Sunny,0,1,135.93,118.17
2022-02-27,Sunday,Breakfast,263,Sunny,0,1,72.83,66.69
2022-02-27,Sunday,Lunch,249,Sunny,0,1,120.4,108.1
2022-02-27,Sunday,Dinner,225,Sunny,0,1,118.53,103.83
2022-02-28,Monday,Breakfast,401,Sunny,0,0,104.72,93.32
2022-02-28,Monday,Lunch,418,Sunny,0,0,194.72,181.95
2022-02-28,Monday,Dinner,386,Cold,0,0,218.06,186.14
2022-03-01,Tuesday,Breakfast,399,Sunny,0,0,119.56,104.94
2022-03-01,Tuesday,Lunch,414,Sunny,0,0,214.89,180.67
2022-03-01,Tuesday,Dinner,438,Cold,0,0,234.87,202.54
2022-03-02,Wednesday,Breakfast,445,Sunny,0,0,117.97,101.6
2022-03-02,Wednesday,Lunch,421,Rainy,0,0,205.56,175.8
2022-03-02,Wednesday,Dinner,396,Sunny,0,0,216.5,184.7
2022-03-03,Thursday,Breakfast,427,Sunny,0,0,122.58,103.74
2022-03-03,Thursday,Lunch,408,Rainy,0,0,200.69,181.37
2022-03-03,Thursday,Dinner,413,Sunny,0,0,243.91,216.73
2022-03-04,Friday,Breakfast,398,Rainy,0,0,109.97,97.19
2022-03-04,Friday,Lunch,443,Sunny,0,0,219.23,184.08
2022-03-04,Friday,Dinner,424,Sunny,0,0,229.97,196.71
2022-03-05,Saturday,Breakfast,235,Sunny,0,1,74.05,63.38
2022-03-05,Saturday,Lunch,193,Sunny,0,1,95.81,82.48
2022-03-05,Saturday,Dinner,183,Sunny,0,1,113.78,96.3
2022-03-06,Sunday,Breakfast,210,Rainy,0,1,56.98,48.41
2022-03-06,Sunday,Lunch,191,Sunny,0,1,97.66,91.06
2022-03-06,Sunday,Dinner,200,Rainy,0,1,119.66,104.4
2022-03-07,Monday,Breakfast,429,Sunny,0,0,112.31,101.93
2022-03-07,Monday,Lunch,394,Cold,0,0,200.11,180.26
2022-03-07,Monday,Dinner,413,Cold,0,0,218.69,192.18
2022-03-08,Tuesday,Breakfast,416,Sunny,0,0,110.97,93.98
2022-03-08,Tuesday,Lunch,445,Sunny,0,0,247.34,208.13
2022-03-08,Tuesday,Dinner,430,Sunny,0,0,249.06,218.28
2022-03-09,Wednesday,Breakfast,411,Rainy,0,0,132.77,111.68
2022-03-09,Wednesday,Lunch,412,Sunny,0,0,239.14,203.38
2022-03-09,Wednesday,Dinner,390,Cold,0,0,236.2,209.43
2022-03-10,Thursday,Breakfast,422,Sunny,0,0,105.75,96.11
2022-03-10,Thursday,Lunch,436,Sunny,0,0,210.48,189.67
2022-03-10,Thursday,Dinner,418,Cold,0,0,223.25,202.58
2022-03-11,Friday,Breakfast,432,Sunny,0,0,114.08,102.05
2022-03-11,Friday,Lunch,392,Sunny,0,0,196.24,176.34
2022-03-11,Friday,Dinner,444,Sunny,0,0,258.25,225.58
2022-03-12,Saturday,Breakfast,181,Sunny,0,1,50.56,42.34
2022-03-12,Saturday,Lunch,193,Sunny,0,1,95.54,79.65
2022-03-12,Saturday,Dinner,225,Sunny,0,1,119.46,102.76
2022-03-13,Sunday,Breakfast,198,Rainy,0,1,50.24,46.58
2022-03-13,Sunday,Lunch,183,Sunny,0,1,88.41,83.42
2022-03-13,Sunday,Dinner,249,Sunny,0,1,139.64,125.11
2022-03-14,Monday,Breakfast,409,Sunny,0,0,102.56,95.2
2022-03-14,Monday,Lunch,440,Cold,0,0,210.47,192.98
2022-03-14,Monday,Dinner,425,Sunny,0,0,206.45,192.33
2022-03-15,Tuesday,Breakfast,430,Sunny,0,0,105.44,97.33
2022-03-15,Tuesday,Lunch,398,Sunny,0,0,172.52,161.9
2022-03-15,Tuesday,Dinner,436,Sunny,0,0,243.92,224.66
2022-03-16,Wednesday,Breakfast,389,Sunny,0,0,119.69,101.57
2022-03-16,Wednesday,Lunch,438,Sunny,0,0,220.18,203.73
2022-03-16,Wednesday,Dinner,402,Rainy,0,0,192.82,181.42
2022-03-17,Thursday,Breakfast,396,Sunny,0,0,105.43,92.69
2022-03-17,Thursday,Lunch,410,Rainy,0,0,216.08,196.21
2022-03-17,Thursday,Dinner,400,Sunny,0,0,221.98,203.61
2022-03-18,Friday,Breakfast,424,Sunny,0,0,119.46,107.1
2022-03-18,Friday,Lunch,402,Cold,0,0,203.96,190.44
2022-03-18,Friday,Dinner,441,Sunny,0,0,278.34,237.9
2022-03-19,Saturday,Breakfast,218,Sunny,0,1,58.8,51.98
2022-03-19,Saturday,Lunch,237,Sunny,0,1,116.3,98.96
2022-03-19,Saturday,Dinner,268,Sunny,0,1,136.57,125.2
2022-03-20,Sunday,Breakfast,181,Cold,0,1,47.49,41.79
2022-03-20,Sunday,Lunch,204,Sunny,0,1,111.08,94.58
2022-03-20,Sunday,Dinner,198,Sunny,0,1,108.8,91.81
2022-03-21,Monday,Breakfast,441,Sunny,0,0,129.31,112.47
2022-03-21,Monday,Lunch,394,Cold,0,0,193.17,174.42
2022-03-21,Monday,Dinner,417,Sunny,0,0,225.85,194.58
2022-03-22,Tuesday,Breakfast,388,Sunny,0,0,102.04,92.06
2022-03-22,Tuesday,Lunch,401,Sunny,0,0,206.17,188.36
2022-03-22,Tuesday,Dinner,420,Sunny,0,0,258.19,216.87
2022-03-23,Wednesday,Breakfast,431,Sunny,0,0,106.37,97.65
2022-03-23,Wednesday,Lunch,422,Sunny,0,0,216.24,189.76
2022-03-23,Wednesday,Dinner,405,Rainy,0,0,198.0,186.57
2022-03-24,Thursday,Breakfast,431,Sunny,0,0,124.69,111.81
2022-03-24,Thursday,Lunch,399,Rainy,0,0,219.65,190.3
2022-03-24,Thursday,Dinner,400,Sunny,0,0,206.83,194.44
2022-03-25,Friday,Breakfast,444,Sunny,0,0,135.15,121.0
2022-03-25,Friday,Lunch,394,Sunny,0,0,220.97,190.52
2022-03-25,Friday,Dinner,436,Sunny,0,0,266.54,226.38
2022-03-26,Saturday,Breakfast,202,Sunny,0,1,57.13,47.68
2022-03-26,Saturday,Lunch,264,Sunny,0,1,147.03,123.68
2022-03-26,Saturday,Dinner,196,Sunny,0,1,111.99,106.14
2022-03-27,Sunday,Breakfast,242,Sunny,0,1,78.48,65.64
2022-03-27,Sunday,Lunch,264,Sunny,0,1,149.91,127.4
2022-03-27,Sunday,Dinner,208,Rainy,0,1,107.53,94.37
2022-03-28,Monday,Breakfast,398,Sunny,0,0,105.15,91.08
2022-03-28,Monday,Lunch,405,Rainy,0,0,182.6,166.41
2022-03-28,Monday,Dinner,418,Rainy,0,0,230.4,201.42
2022-03-29,Tuesday,Breakfast,442,Sunny,0,0,110.21,104.6
2022-03-29,Tuesday,Lunch,441,Sunny,0,0,240.91,213.32
2022-03-29,Tuesday,Dinner,445,Rainy,0,0,269.76,244.66
2022-03-30,Wednesday,Breakfast,434,Sunny,0,0,123.63,108.06
2022-03-30,Wednesday,Lunch,441,Cold,0,0,232.66,209.1
2022-03-30,Wednesday,Dinner,410,Rainy,0,0,207.22,194.29
2022-03-31,Thursday,Breakfast,406,Sunny,0,0,105.65,97.37
2022-03-31,Thursday,Lunch,385,Sunny,0,0,211.86,190.15
2022-03-31,Thursday,Dinner,408,Sunny,0,0,229.56,192.5
2022-04-01,Friday,Breakfast,478,Sunny,1,0,138.9,117.53
2022-04-01,Friday,Lunch,490,Sunny,1,0,242.42,225.5
2022-04-01,Friday,Dinner,493,Sunny,1,0,307.89,268.33
2022-04-02,Saturday,Breakfast,257,Sunny,1,1,65.44,60.79
2022-04-02,Saturday,Lunch,218,Sunny,1,1,114.21,103.59
2022-04-02,Saturday,Dinner,203,Cold,1,1,129.96,109.29
2022-04-03,Sunday,Breakfast,295,Sunny,1,1,84.04,72.22
2022-04-03,Sunday,Lunch,266,Sunny,1,1,137.91,127.26
2022-04-03,Sunday,Dinner,220,Sunny,1,1,127.39,112.04
2022-04-04,Monday,Breakfast,426,Rainy,1,0,108.56,101.51
2022-04-04,Monday,Lunch,486,Cold,1,0,274.75,234.54
2022-04-04,Monday,Dinner,468,Sunny,1,0,238.56,214.67
2022-04-05,Tuesday,Breakfast,447,Sunny,1,0,131.26,116.74
2022-04-05,Tuesday,Lunch,425,Sunny,1,0,210.44,198.26
2022-04-05,Tuesday,Dinner,482,Sunny,1,0,273.4,240.06
2022-04-06,Wednesday,Breakfast,481,Sunny,1,0,141.32,124.53
2022-04-06,Wednesday,Lunch,440,Rainy,1,0,240.99,209.78
2022-04-06,Wednesday,Dinner,482,Rainy,1,0,295.11,251.04
2022-04-07,Thursday,Breakfast,471,Sunny,1,0,140.18,120.54
2022-04-07,Thursday,Lunch,432,Rainy,1,0,220.22,208.86
2022-04-07,Thursday,Dinner,481,Sunny,1,0,270.14,232.57
2022-04-08,Friday,Breakfast,432,Rainy,1,0,129.7,115.17
2022-04-08,Friday,Lunch,420,Sunny,1,0,231.56,193.42
2022-04-08,Friday,Dinner,467,Sunny,1,0,271.17,239.76
2022-04-09,Saturday,Breakfast,275,Sunny,1,1,81.83,72.34
2022-04-09,Saturday,Lunch,292,Sunny,1,1,160.49,134.89
2022-04-09,Saturday,Dinner,207,Cold,1,1,113.85,107.39
2022-04-10,Sunday,Breakfast,227,Rainy,1,1,58.96,51.84
2022-04-10,Sunday,Lunch,232,Sunny,1,1,112.07,94.92
2022-04-10,Sunday,Dinner,293,Cold,1,1,164.5,153.81
2022-04-11,Monday,Breakfast,476,Sunny,1,0,118.24,107.63
2022-04-11,Monday,Lunch,456,Rainy,1,0,237.58,212.72
2022-04-11,Monday,Dinner,440,Cold,1,0,242.26,216.75
2022-04-12,Tuesday,Breakfast,432,Rainy,1,0,121.5,112.18
2022-04-12,Tuesday,Lunch,426,Sunny,1,0,215.6,197.62
2022-04-12,Tuesday,Dinner,490,Sunny,1,0,287.97,241.68
2022-04-13,Wednesday,Breakfast,451,Sunny,1,0,120.5,110.44
2022-04-13,Wednesday,Lunch,492,Sunny,1,0,259.03,238.85
2022-04-13,Wednesday,Dinner,435,Sunny,1,0,247.69,224.1
2022-04-14,Thursday,Breakfast,484,Sunny,1,0,142.63,132.33
2022-04-14,Thursday,Lunch,485,Rainy,1,0,270.74,230.08
2022-04-14,Thursday,Dinner,476,Sunny,1,0,232.55,220.45
2022-04-15,Friday,Breakfast,488,Sunny,1,0,145.04,129.24
2022-04-15,Friday,Lunch,429,Sunny,1,0,223.14,200.21
2022-04-15,Friday,Dinner,435,Sunny,1,0,225.8,198.54
2022-04-16,Saturday,Breakfast,224,Rainy,1,1,60.25,53.88
2022-04-16,Saturday,Lunch,199,Sunny,1,1,98.31,87.62
2022-04-16,Saturday,Dinner,257,Sunny,1,1,157.41,133.51
2022-04-17,Sunday,Breakfast,275,Sunny,1,1,72.98,68.48
2022-04-17,Sunday,Lunch,221,Cold,1,1,103.87,92.34
2022-04-17,Sunday,Dinner,258,Rainy,1,1,137.26,130.54
2022-04-18,Monday,Breakfast,444,Sunny,1,0,112.3,101.85
2022-04-18,Monday,Lunch,422,Sunny,1,0,198.99,185.99
2022-04-18,Monday,Dinner,462,Sunny,1,0,264.49,244.89
2022-04-19,Tuesday,Breakfast,432,Sunny,1,0,128.26,110.95
2022-04-19,Tuesday,Lunch,422,Cold,1,0,195.56,172.88
2022-04-19,Tuesday,Dinner,473,Rainy,1,0,288.62,246.63
2022-04-20,Wednesday,Breakfast,445,Rainy,1,0,120.68,101.91
2022-04-20,Wednesday,Lunch,460,Rainy,1,0,235.07,205.03
2022-04-20,Wednesday,Dinner,459,Rainy,1,0,222.72,210.3
2022-04-21,Thursday,Breakfast,438,Sunny,1,0,127.39,117.64
2022-04-21,Thursday,Lunch,492,Sunny,1,0,242.24,207.32
2022-04-21,Thursday,Dinner,468,Sunny,1,0,273.94,236.59
2022-04-22,Friday,Breakfast,436,Cold,1,0,136.96,119.35
2022-04-22,Friday,Lunch,434,Sunny,1,0,188.34,178.59
2022-04-22,Friday,Dinner,438,Sunny,1,0,272.53,235.13
2022-04-23,Saturday,Breakfast,270,Sunny,1,1,72.33,65.42
2022-04-23,Saturday,Lunch,294,Sunny,1,1,161.44,142.01
2022-04-23,Saturday,Dinner,240,Rainy,1,1,141.34,119.68
2022-04-24,Sunday,Breakfast,287,Sunny,1,1,78.07,68.55
2022-04-24,Sunday,Lunch,288,Sunny,1,1,152.01,132.79
2022-04-24,Sunday,Dinner,269,Sunny,1,1,166.46,140.31
2022-04-25,Monday,Breakfast,433,Sunny,1,0,127.6,118.46
2022-04-25,Monday,Lunch,484,Sunny,1,0,244.14,206.79
2022-04-25,Monday,Dinner,453,Sunny,1,0,250.7,220.12
2022-04-26,Tuesday,Breakfast,432,Sunny,1,0,128.62,118.14
2022-04-26,Tuesday,Lunch,468,Sunny,1,0,237.59,222.12
2022-04-26,Tuesday,Dinner,491,Sunny,1,0,246.73,232.54
2022-04-27,Wednesday,Breakfast,432,Sunny,1,0,122.69,104.48
2022-04-27,Wednesday,Lunch,452,Sunny,1,0,240.65,208.17
2022-04-27,Wednesday,Dinner,432,Sunny,1,0,227.43,195.98
2022-04-28,Thursday,Breakfast,469,Sunny,1,0,146.73,125.32
2022-04-28,Thursday,Lunch,464,Rainy,1,0,209.65,196.52
2022-04-28,Thursday,Dinner,440,Sunny,1,0,263.54,221.37
2022-04-29,Friday,Breakfast,423,Sunny,1,0,124.65,104.74
2022-04-29,Friday,Lunch,443,Sunny,1,0,194.15,181.07
2022-04-29,Friday,Dinner,493,Cold,1,0,264.9,222.09
2022-04-30,Saturday,Breakfast,260,Rainy,1,1,72.61,64.41
2022-04-30,Saturday,Lunch,245,Sunny,1,1,107.87,102.3
2022-04-30,Saturday,Dinner,227,Rainy,1,1,122.85,106.73
2022-05-01,Sunday,Breakfast,267,Sunny,0,1,77.1,69.05
2022-05-01,Sunday,Lunch,258,Sunny,0,1,141.76,120.57
2022-05-01,Sunday,Dinner,265,Sunny,0,1,151.32,132.43
2022-05-02,Monday,Breakfast,441,Sunny,0,0,118.85,99.9
2022-05-02,Monday,Lunch,429,Sunny,0,0,209.17,182.07
2022-05-02,Monday,Dinner,409,Sunny,0,0,216.42,188.41
2022-05-03,Tuesday,Breakfast,449,Sunny,0,0,136.61,122.96
2022-05-03,Tuesday,Lunch,441,Rainy,0,0,233.44,201.11
2022-05-03,Tuesday,Dinner,441,Sunny,0,0,244.83,212.87
2022-05-04,Wednesday,Breakfast,437,Rainy,0,0,129.11,115.76
2022-05-04,Wednesday,Lunch,437,Sunny,0,0,208.49,198.4
2022-05-04,Wednesday,Dinner,404,Sunny,0,0,228.34,197.81
2022-05-05,Thursday,Breakfast,408,Sunny,0,0,106.89,96.65
2022-05-05,Thursday,Lunch,397,Sunny,0,0,209.74,182.35
2022-05-05,Thursday,Dinner,424,Sunny,0,0,244.04,206.9
2022-05-06,Friday,Breakfast,417,Sunny,0,0,103.91,94.36
2022-05-06,Friday,Lunch,408,Sunny,0,0,210.8,186.54
2022-05-06,Friday,Dinner,423,Rainy,0,0,260.19,224.74
2022-05-07,Saturday,Breakfast,265,Sunny,0,1,65.4,62.22
2022-05-07,Saturday,Lunch,238,Rainy,0,1,120.82,101.61
2022-05-07,Saturday,Dinner,185,Cold,0,1,95.61,89.76
2022-05-08,Sunday,Breakfast,223,Sunny,0,1,58.48,53.35
2022-05-08,Sunday,Lunch,252,Sunny,0,1,124.57,109.12
